Legend:
Voiced vowel = lower case (e.g., 'i, e')
Devoiced vowel = upper case (e.g., 'I, E')
Short vowel = plain ('i, I, e, E')
Long vowel = umlaut ('ï, Ï, ë, Ë')
Placeless nasal coda = 'N'
Placeless non-nasal coda (1st half of geminate) = 'Q'
Word boundary = '#'

BIPHONE	O-VALUE	E-VALUE	OE-RATIO	CONSTRAINT
kʲ#	1.4403E-06	0.000386461	0.003726906	*kʲ#
rü	0.00009506	0.000386311	0.246071329	*rü
ck	9.28995E-05	0.000379912	0.244528971	*ck
kc	4.3209E-06	0.000379912	0.011373441	*kc
kʲs	2.23247E-05	0.000362831	0.061529151	*kʲs
skʲ	1.51232E-05	0.000362831	0.041681038	*skʲ
ʤu	0.00061717	0.000360231	1.713259393	Contig-ʤu
ço	5.0411E-06	0.000357395	0.014105009	*ço
sü	0.00038096	0.000354562	1.074451656	--
ʃU	0.000211725	0.000351558	0.602246972	*ʃU
pa	0.000890827	0.000348773	2.5541776	Contig-pa
ʃI	0.010342814	0.000345936	29.89805251	Contig-ʃI
ʤn	2.1605E-06	0.000344144	0.006277756	*ʤn
bu	0.002925255	0.000339994	8.60385216	Contig-bu
kʲm	1.80038E-05	0.000338381	0.053205597	*kʲm
Nkʲ	0.000624371	0.000334544	1.866336755	Contig-Nkʲ
mü	8.6418E-06	0.00033067	0.02613428	*mü
Nü	7.202E-07	0.00032692	0.00220284	*Nü
ʃy	4.3209E-06	0.000323466	0.013358155	*ʃy
ʃnʲ	2.8806E-06	0.000319928	0.009003911	*ʃnʲ
dkʲ	7.202E-07	0.000319518	0.002253868	*dkʲ
kʲd	2.8806E-06	0.000319518	0.009015473	*kʲd
ʃQ	1.08023E-05	0.000319411	0.033819311	*ʃQ
zi	6.4814E-06	0.000315835	0.02052135	*zi
ʧu	1.65635E-05	0.00031432	0.052696273	*ʧu
dü	3.6008E-06	0.000312236	0.011532156	*dü
hn	1.4403E-06	0.000301864	0.004771368	*hn
ʧn	7.9217E-06	0.000300283	0.026380658	*ʧn
gU	3.6008E-06	0.000299187	0.012035122	*gU
yö	0.002920934	0.000293319	9.958220841	Contig-yö
cu	0.004460617	0.000291187	15.3187518	Contig-cu
nʲö	2.8806E-06	0.000290111	0.009929326	*nʲö
në	6.04927E-05	0.000288796	0.209465498	*në
fa	4.39292E-05	0.00028502	0.154127129	*fa
ʃw	2.1605E-06	0.000284277	0.007599832	*ʃw
ʧr	2.1605E-06	0.00028191	0.007663643	*ʧr
ze	0.00095276	0.000281621	3.3831311	Contig-ze
sb	2.8806E-06	0.000279875	0.010292458	*sb
po	0.000154112	0.000278857	0.552657291	*po
cn	1.80038E-05	0.000278183	0.064719188	*cn
ʧ#	7.202E-07	0.000275592	0.002613108	*ʧ#
Nʤ	0.001384131	0.000273416	5.062364768	Contig-Nʤ
rë	0.000607808	0.000271125	2.241799325	Contig-rë
cr	2.8806E-06	0.000261162	0.011029965	*cr
ʤd	3.6008E-06	0.000261136	0.013788838	*ʤd
çi	0.000983007	0.000260722	3.770321738	Contig-çi
sh	7.202E-07	0.000260103	0.002768714	*sh
