Data generated for Whang 2021
Phrase-level contextual surprisal of "S2" after "S1" (Whang 2019, Shannon 1948)

Legend:
Voiced vowel = lower case (e.g., 'i, e')
Devoiced vowel = upper case (e.g., 'I, E')
Short vowel = plain ('i, I, e, E')
Long vowel = umlaut ('ï, Ï, ë, Ë')
Placeless nasal coda = 'N'
Placeless non-nasal coda (1st half of geminate) = 'Q'
Word boundary = '#'

BIPHONE	S1_	S2	BIPHONE-COUNT	CONTEXT-COUNT	Surprisal(S2)
jö	j	ö	4056	20024	2.303600639
jo	j	o	3651	20024	2.455366622
ja	j	a	3528	20024	2.50480773
ju	j	u	1142	20024	4.13209564
jä	j	ä	15	20024	10.38255198
jÜ	j	Ü	11	20024	10.83001096
jO	j	O	8	20024	11.28944258
jA	j	A	6	20024	11.70448008
jU	j	U	2	20024	13.28944258
je	j	e	1	20024	14.28944258
jQ	j	Q	1	20024	14.28944258
ka	k	a	27411	74325	1.439092597
ko	k	o	15079	74325	2.301306802
ku	k	u	11351	74325	2.711028157
ke	k	e	7974	74325	3.220472048
kU	k	U	4732	74325	3.973325579
kö	k	ö	4343	74325	4.0970837
kë	k	ë	1847	74325	5.330591787
kO	k	O	303	74325	7.938385954
kA	k	A	297	74325	7.967240817
kt	k	t	187	74325	8.634665478
kä	k	ä	166	74325	8.806520506
ks	k	s	139	74325	9.062618865
kü	k	ü	131	74325	9.148136936
kʃ	k	ʃ	92	74325	9.657997982
kE	k	E	87	74325	9.738616442
kk	k	k	46	74325	10.65799798
kʧ	k	ʧ	39	74325	10.89615772
k#	k	#	14	74325	12.37420502
kw	k	w	12	74325	12.59659744
kr	k	r	8	74325	13.18155994
kh	k	h	7	74325	13.37420502
kp	k	p	7	74325	13.37420502
kʦ	k	ʦ	6	74325	13.59659744
kd	k	d	6	74325	13.59659744
km	k	m	6	74325	13.59659744
kç	k	ç	6	74325	13.59659744
kn	k	n	5	74325	13.85963184
kQ	k	Q	5	74325	13.85963184
kg	k	g	3	74325	14.59659744
kj	k	j	3	74325	14.59659744
kkʲ	k	kʲ	3	74325	14.59659744
kÄ	k	Ä	2	74325	15.18155994
kb	k	b	2	74325	15.18155994
kN	k	N	2	74325	15.18155994
knʲ	k	nʲ	2	74325	15.18155994
kI	k	I	1	74325	16.18155994
kÖ	k	Ö	1	74325	16.18155994
kʲi	kʲ	i	8564	14919	0.800794136
kʲI	kʲ	I	2925	14919	2.350642307
kʲö	kʲ	ö	1189	14919	3.649330217
kʲü	kʲ	ü	887	14919	4.072072922
kʲo	kʲ	o	407	14919	5.195978232
kʲï	kʲ	ï	396	14919	5.235506596
kʲa	kʲ	a	166	14919	6.489823785
kʲt	kʲ	t	141	14919	6.725311864
kʲk	kʲ	k	66	14919	7.820469097
kʲs	kʲ	s	31	14919	8.910666906
kʲm	kʲ	m	25	14919	9.221007027
kʲkʲ	kʲ	kʲ	19	14919	9.616935703
kʲu	kʲ	u	16	14919	9.864863217
kʲʧ	kʲ	ʧ	14	14919	10.05750829
kʲh	kʲ	h	11	14919	10.4054316
kʲä	kʲ	ä	10	14919	10.54293512
kʲQ	kʲ	Q	9	14919	10.69493822
kʲʃ	kʲ	ʃ	8	14919	10.86486322
kʲn	kʲ	n	6	14919	11.27990072
kʲO	kʲ	O	5	14919	11.54293512
kʲA	kʲ	A	4	14919	11.86486322
kʲd	kʲ	d	4	14919	11.86486322
kʲʦ	kʲ	ʦ	3	14919	12.27990072
kʲnʲ	kʲ	nʲ	3	14919	12.27990072
kʲ#	kʲ	#	2	14919	12.86486322
kʲg	kʲ	g	2	14919	12.86486322
kʲf	kʲ	f	1	14919	13.86486322
kʲÖ	kʲ	Ö	1	14919	13.86486322
kʲp	kʲ	p	1	14919	13.86486322
kʲU	kʲ	U	1	14919	13.86486322
kʲj	kʲ	j	1	14919	13.86486322
kʲʤ	kʲ	ʤ	1	14919	13.86486322
kʷa	kʷ	a	1	1	0
ma	m	a	17160	43735	1.349738741
mo	m	o	14201	43735	1.622795769
mi	m	i	4787	43735	3.191594583
me	m	e	2742	43735	3.995487818
mu	m	u	2009	43735	4.444238825
mö	m	ö	1205	43735	5.181683242
më	m	ë	893	43735	5.613984308
mA	m	A	499	43735	6.453604668
mä	m	ä	96	43735	8.831538173
ms	m	s	55	43735	9.63514096
mO	m	O	30	43735	10.50961008
mʃ	m	ʃ	17	43735	11.32903783
mï	m	ï	15	43735	11.50961008
mü	m	ü	12	43735	11.83153817
mI	m	I	5	43735	13.09457258
mU	m	U	3	43735	13.83153817
mE	m	E	2	43735	14.41650067
mt	m	t	2	43735	14.41650067
m#	m	#	1	43735	15.41650067
mQ	m	Q	1	43735	15.41650067
mʲö	mʲ	ö	27	69	1.353636955
mʲa	mʲ	a	24	69	1.523561956
mʲu	mʲ	u	16	69	2.108524457
mʲü	mʲ	ü	2	69	5.108524457
no	n	o	27919	54423	0.962969217
na	n	a	20716	54423	1.393471022
Nd	N	d	8477	43226	2.350273648
Nn	N	n	4268	43226	3.340267259
Nt	N	t	4263	43226	3.34195838
Ng	N	g	3945	43226	3.453802135
Nk	N	k	3710	43226	3.542408248
ne	n	e	4456	54423	3.610395348
Ns	N	s	2898	43226	3.89876984
Nʃ	N	ʃ	2117	43226	4.351806165
Nʤ	N	ʤ	1922	43226	4.491219099
Nnʲ	N	nʲ	1471	43226	4.877030188
No	N	o	1068	43226	5.338915788
N#	N	#	1041	43226	5.375857366
Nm	N	m	991	43226	5.446870472
Nb	N	b	884	43226	5.61170916
Nkʲ	N	kʲ	867	43226	5.639723536
Nr	N	r	728	43226	5.891817079
Nw	N	w	631	43226	6.098115525
Nʣ	N	ʣ	630	43226	6.100403701
Np	N	p	613	43226	6.139868456
Ni	N	i	512	43226	6.399611719
Nʧ	N	ʧ	483	43226	6.483732341
nu	n	u	572	54423	6.572057528
Nj	N	j	436	43226	6.631427395
nö	n	ö	510	54423	6.737575428
