Data generated for Whang 2021

Surprisal of phonological alternations observed in lexicon (transform "Target" to "Change") after "Context" (Shannon 1948; Durvasula & Kahng 2015).

Legend:
Voiced vowel = lower case (e.g., 'i, e')
Devoiced vowel = upper case (e.g., 'I, E')
Short vowel = plain ('i, I, e, E')
Long vowel = umlaut ('ï, Ï, ë, Ë')
Placeless nasal coda = 'N'
Placeless non-nasal coda (1st half of geminate) = 'Q'
Word boundary = '#'

Context	Target	SequenceCount	Change	ChangeCount	ChangeSurprisal
ʃ_	U	296	u	47	2.65486
ʃ_	U	296	I	44	2.75002
ʃ_	u	559	U	19	4.87878
ʃ_	u	559	i	8	6.1267
ʃ_	u	559	ü	5	6.80478
ʃ_	U	296	i	2	7.20945
ʃ_	U	296	-	2	7.20945
ʃ_	u	559	I	3	7.54174
ʃ_	Ü	2	ü	2	0
ʃ_	ü	1200	ü	1195	0.00602
ʃ_	ü	1200	ö	1	10.22882
t_	-	192	o	100	0.94111
t_	-	192	e	45	2.09311
t_	-	192	a	43	2.1587
t_	-	192	I	2	6.58496
t_	a	22916	a	22876	0.00252
t_	A	505	a	494	0.03177
t_	A	505	A	8	5.98014
t_	a	22916	ä	27	9.72918
t_	a	22916	e	6	11.89911
t_	a	22916	o	4	12.48407
t_	a	22916	A	2	13.48407
t_	a	22916	-	1	14.48407
t_	ä	588	ä	456	0.36678
t_	ä	588	a	116	2.34169
t_	ä	588	o	1	9.19967
t_	e	23945	e	23936	0.00054
t_	E	504	e	501	0.00861
t_	E	504	E	2	7.97728
t_	E	504	a	1	8.97728
t_	e	23945	a	5	12.22551
t_	e	23945	-	1	14.54744
t_	e	23945	o	1	14.54744
t_	e	23945	E	1	14.54744
t_	ë	1257	ë	1253	0.0046
t_	ë	1257	e	1	10.29577
t_	I	17	e	10	0.76553
t_	i	223	e	129	0.78967
t_	i	223	i	87	1.35796
t_	I	17	I	5	1.76553
t_	I	17	ï	1	4.08746
t_	i	223	o	5	5.47897
t_	i	223	ï	2	6.8009
t_	ï	280	ï	275	0.026
t_	ï	280	e	3	6.54432
t_	ï	280	i	2	7.12928
t_	o	29558	o	29526	0.00156
t_	O	860	o	853	0.01179
t_	O	860	O	7	6.94084
t_	o	29558	a	14	11.04391
t_	o	29558	ö	7	12.04391
t_	o	29558	e	5	12.52933
t_	o	29558	O	5	12.52933
t_	ö	1518	ö	1453	0.06314
t_	ö	1518	o	60	4.66107
t_	U	10	o	4	1.32193
t_	u	57	e	21	1.44057
t_	u	57	u	20	1.51096
t_	U	10	U	3	1.73697
t_	u	57	o	15	1.926
t_	U	10	e	2	2.32193
t_	U	10	u	1	3.32193
t_	u	57	U	1	5.83289
t_	ü	15	e	7	1.09954
t_	ü	15	ü	7	1.09954
t_	ü	15	o	1	3.90689
ʦ_	-	295	U	168	0.81225
ʦ_	-	295	u	127	1.21589
ʦ_	a	1	u	1	0
ʦ_	e	1	e	1	0
ʦ_	u	6210	u	5940	0.06413
ʦ_	U	2958	U	1730	0.77385
ʦ_	U	2958	u	1207	1.2932
ʦ_	u	6210	U	261	4.57247
ʦ_	U	2958	-	20	7.20848
ʦ_	u	6210	ü	9	9.43045
ʦ_	U	2958	ü	1	11.53041
ʦ_	ü	352	ü	334	0.07573
ʦ_	ü	352	u	13	4.75899
ʦ_	ü	352	U	2	7.45943
ʧ_	-	170	i	98	0.79468
ʧ_	-	170	I	62	1.45519
ʧ_	-	170	o	5	5.08746
ʧ_	-	170	a	1	7.40939
ʧ_	A	4	a	4	0
ʧ_	a	530	a	529	0.00272
ʧ_	a	530	ä	1	9.04985
ʧ_	ä	10	ä	10	0
ʧ_	e	12	e	12	0
ʧ_	ë	4	ë	4	0
ʧ_	i	4984	i	4919	0.01894
ʧ_	I	1502	i	804	0.90162
ʧ_	I	1502	I	680	1.14328
ʧ_	i	4984	I	60	6.3762
ʧ_	I	1502	-	15	6.64578
ʧ_	I	1502	ü	1	10.55267
ʧ_	i	4984	-	2	11.28309
ʧ_	i	4984	ï	1	12.28309
ʧ_	i	4984	e	1	12.28309
ʧ_	i	4984	u	1	12.28309
ʧ_	ï	488	ï	483	0.01486
ʧ_	ï	488	i	5	6.60881
ʧ_	o	835	o	832	0.00519
ʧ_	O	43	o	41	0.06871
ʧ_	o	835	ö	1	9.70563
ʧ_	ö	1168	ö	1167	0.00124
ʧ_	ö	1168	i	1	10.18982
ʧ_	U	1	U	1	0
ʧ_	u	18	ü	11	0.71049
ʧ_	u	18	u	5	1.848
ʧ_	u	18	i	2	3.16993
ʧ_	ü	777	ü	777	0
ʧ_	Ü	1	ü	1	0
w_	-	4	a	4	0
w_	a	17281	a	17280	0.00008
w_	A	29	a	28	0.05063
w_	A	29	A	1	4.85798
w_	a	17281	ä	1	14.0769
w_	ä	146	ä	142	0.04008
w_	ä	146	a	2	6.18982
w_	e	5	e	5	0
w_	ë	2	ë	2	0
w_	i	10	i	10	0
w_	ï	2	ï	2	0
w_	o	6	o	6	0
w_	ö	9	ö	9	0
