Data generated for Whang 2021
Biphone O/E ratios and phonotactic constraints induced based on StaGe (Adriaans and Kager 2010)

Legend:
Voiced vowel = lower case (e.g., 'i, e')
Devoiced vowel = upper case (e.g., 'I, E')
Short vowel = plain ('i, I, e, E')
Long vowel = umlaut ('ï, Ï, ë, Ë')
Placeless nasal coda = 'N'
Placeless non-nasal coda (1st half of geminate) = 'Q'
Word boundary = '#'

BIPHONE	S1	S2	O-VALUE	E-VALUE	OE-RATIO	CONSTRAINT
pï	p	ï	0.0001389890	0.0000072605	19.1432609400	Contig-pï
ïp	ï	p	0.0000187239	0.0000072605	2.5788848930	Contig-ïp
ïï	ï	ï	0.0000028806	0.0000069510	0.4144162310	*ïï
Eh	E	h	0.0000021605	0.0000068944	0.3133614440	*Eh
Eʧ	E	ʧ	0.0000036008	0.0000068583	0.5250181160	*Eʧ
ubʲ	u	bʲ	0.0000151232	0.0000064702	2.3373731630	Contig-ubʲ
bʲu	bʲ	u	0.0000007202	0.0000064702	0.1113034840	*bʲu
Eʦ	E	ʦ	0.0000028806	0.0000063536	0.4533821220	*Eʦ
mʲa	mʲ	a	0.0000172836	0.0000062932	2.7463850530	Contig-mʲa
amʲ	a	mʲ	0.0000028806	0.0000062932	0.4577308420	*amʲ
pʲu	pʲ	u	0.0000021605	0.0000062338	0.3465705640	*pʲu
äç	ä	ç	0.0000036008	0.0000060646	0.5937328600	*äç
ïf	ï	f	0.0000158433	0.0000059333	2.6702329640	Contig-ïf
fï	f	ï	0.0000151232	0.0000059333	2.5488587380	Contig-fï
#bʲ	#	bʲ	0.0000158433	0.0000056730	2.7927797420	Contig-#bʲ
ërʲ	ë	rʲ	0.0000165635	0.0000056567	2.9281028180	Contig-ërʲ
ötʲ	ö	tʲ	0.0000007202	0.0000052734	0.1365627150	*ötʲ
ʣA	ʣ	A	0.0000086418	0.0000051235	1.6866970980	Contig-ʣA
Aʣ	A	ʣ	0.0000050411	0.0000051235	0.9839066410	--
omʲ	o	mʲ	0.0000122426	0.0000050317	2.4330993630	Contig-omʲ
Nbʲ	N	bʲ	0.0000352874	0.0000049109	7.1855926030	Contig-Nbʲ
Oʣ	O	ʣ	0.0000028806	0.0000048587	0.5928736740	*Oʣ
ʣO	ʣ	O	0.0000014403	0.0000048587	0.2964368370	*ʣO
pä	p	ä	0.0002844600	0.0000047319	60.1152967600	Contig-pä
äp	ä	p	0.0000266456	0.0000047319	5.6310531140	Contig-äp
Npʲ	N	pʲ	0.0000158433	0.0000047315	3.3485042230	Contig-Npʲ
ïä	ï	ä	0.0000302464	0.0000045302	6.6765997960	Contig-ïä
äï	ä	ï	0.0000021605	0.0000045302	0.4768999850	*äï
çA	ç	A	0.0000014403	0.0000042295	0.3405400490	*çA
Aç	A	ç	0.0000014403	0.0000042295	0.3405400490	*Aç
tʲU	tʲ	U	0.0000043209	0.0000040632	1.0634233940	--
Utʲ	U	tʲ	0.0000007202	0.0000040632	0.1772372320	*Utʲ
Oç	O	ç	0.0000014403	0.0000040109	0.3590992660	*Oç
Itʲ	I	tʲ	0.0000007202	0.0000039982	0.1801173890	*Itʲ
äf	ä	f	0.0000086418	0.0000038669	2.2347914840	Contig-äf
fä	f	ä	0.0000043209	0.0000038669	1.1173957420	--
ʣE	ʣ	E	0.0000007202	0.0000038272	0.1881646540	*ʣE
Eʣ	E	ʣ	0.0000007202	0.0000038272	0.1881646540	*Eʣ
Qtʲ	Q	tʲ	0.0001778770	0.0000036917	48.1834739600	Contig-Qtʲ
imʲ	i	mʲ	0.0000122426	0.0000036706	3.3352645980	Contig-imʲ
pA	p	A	0.0000021605	0.0000033000	0.6546757760	*pA
emʲ	e	mʲ	0.0000007202	0.0000032730	0.2200274880	*emʲ
bʲö	bʲ	ö	0.0001101830	0.0000032080	34.3464582200	Contig-bʲö
öbʲ	ö	bʲ	0.0000007202	0.0000032080	0.2244866550	*öbʲ
Eç	E	ç	0.0000021605	0.0000031594	0.6838197600	*Eç
pʲö	pʲ	ö	0.0001253060	0.0000030908	40.5416515400	Contig-pʲö
Oï	O	ï	0.0000064814	0.0000029961	2.1632763600	Contig-Oï
gʲï	gʲ	ï	0.0000201642	0.0000029657	6.7991323570	Contig-gʲï
ïgʲ	ï	gʲ	0.0000007202	0.0000029657	0.2428261560	*ïgʲ
ää	ä	ä	0.0000007202	0.0000029525	0.2439132230	*ää
tʲü	tʲ	ü	0.0001757170	0.0000027219	64.5558809900	Contig-tʲü
ütʲ	ü	tʲ	0.0000014403	0.0000027219	0.5291465660	*ütʲ
Of	O	f	0.0000007202	0.0000025574	0.2815912800	*Of
Ibʲ	I	bʲ	0.0000007202	0.0000024323	0.2960833790	*Ibʲ
Eï	E	ï	0.0000021605	0.0000023600	0.9154331180	--
Qpʲ	Q	pʲ	0.0001332280	0.0000021637	61.5733707900	Contig-Qpʲ
mʲu	mʲ	u	0.0000115224	0.0000020385	5.6522812720	Contig-mʲu
umʲ	u	mʲ	0.0000014403	0.0000020385	0.7065351590	*umʲ
ïrʲ	ï	rʲ	0.0000007202	0.0000020240	0.3558109340	*ïrʲ
ägʲ	ä	gʲ	0.0000014403	0.0000019329	0.7451689490	*ägʲ
ëtʲ	ë	tʲ	0.0000007202	0.0000019103	0.3769755560	*ëtʲ
#mʲ	#	mʲ	0.0000043209	0.0000017874	2.4174654680	Contig-#mʲ
bʲü	bʲ	ü	0.0000244851	0.0000016558	14.7871095000	Contig-bʲü
übʲ	ü	bʲ	0.0000043209	0.0000016558	2.6094899120	Contig-übʲ
pʲü	pʲ	ü	0.0000129627	0.0000015954	8.1252837540	Contig-pʲü
Nmʲ	N	mʲ	0.0000144030	0.0000015473	9.3087535050	Contig-Nmʲ
OO	O	O	0.0000086418	0.0000012914	6.6918079870	Contig-OO
Ogʲ	O	gʲ	0.0000007202	0.0000012783	0.5633628360	*Ogʲ
Öi	Ö	i	0.0000007202	0.0000011704	0.6153295650	*Öi
ëbʲ	ë	bʲ	0.0000014403	0.0000011621	1.2393716910	--
AE	A	E	0.0000028806	0.0000010727	2.6854171820	Contig-AE
Öe	Ö	e	0.0000007202	0.0000010436	0.6900862140	*Öe
EO	E	O	0.0000043209	0.0000010172	4.2476560760	Contig-EO
OE	O	E	0.0000007202	0.0000010172	0.7079426790	*OE
mʲö	mʲ	ö	0.0000194441	0.0000010107	19.2375303100	Contig-mʲö
ömʲ	ö	mʲ	0.0000007202	0.0000010107	0.7125011220	*ömʲ
Egʲ	E	gʲ	0.0000007202	0.0000010069	0.7151943330	*Egʲ
Orʲ	O	rʲ	0.0000007202	0.0000008724	0.8254903850	--
kÖ	k	Ö	0.0000007202	0.0000008480	0.8492168910	--
Imʲ	I	mʲ	0.0000007202	0.0000007663	0.9397429000	--
adʲ	a	dʲ	0.0000021605	0.0000006384	3.3839387250	Contig-adʲ
Ük	Ü	k	0.0000028806	0.0000005782	4.9820724300	Contig-Ük
Ö#	Ö	#	0.0000014403	0.0000005699	2.5273502630	Contig-Ö#
sÖ	s	Ö	0.0000122426	0.0000005350	22.8815365000	Contig-sÖ
Ös	Ö	s	0.0000007202	0.0000005350	1.3459727350	Contig-Ös
mʲü	mʲ	ü	0.0000014403	0.0000005217	2.7607646890	Contig-mʲü
odʲ	o	dʲ	0.0000014403	0.0000005105	2.8215774130	Contig-odʲ
Öd	Ö	d	0.0000093620	0.0000004712	19.8695900500	Contig-Öd
Ün	Ü	n	0.0000014403	0.0000004234	3.4019856800	Contig-Ün
ïbʲ	ï	bʲ	0.0000007202	0.0000004158	1.7319381510	Contig-ïbʲ
Ü#	Ü	#	0.0000021605	0.0000003886	5.5601705770	Contig-Ü#
Ïe	Ï	e	0.0000007202	0.0000003795	1.8977370880	Contig-Ïe
sÜ	s	Ü	0.0000007202	0.0000003648	1.9740933450	Contig-sÜ
Ït	Ï	t	0.0000014403	0.0000003460	4.1625109410	Contig-Ït
ÜN	Ü	N	0.0000021605	0.0000003364	6.4230399190	Contig-ÜN
Ög	Ö	g	0.0000007202	0.0000003024	2.3810942150	Contig-Ög
ʃÜ	ʃ	Ü	0.0000014403	0.0000002423	5.9440820170	Contig-ʃÜ
Öj	Ö	j	0.0000014403	0.0000002285	6.3042394580	Contig-Öj
#Ï	#	Ï	0.0000014403	0.0000002072	6.9502132220	Contig-#Ï
Ï#	Ï	#	0.0000007202	0.0000002072	3.4751066110	Contig-Ï#
dʲu	dʲ	u	0.0000036008	0.0000002068	17.4110449900	Contig-dʲu
va	v	a	0.0000007202	0.0000001824	3.9479285130	Contig-va
Ïd	Ï	d	0.0000014403	0.0000001713	8.4063650230	Contig-Ïd
kʲÖ	kʲ	Ö	0.0000007202	0.0000001702	4.2307155610	Contig-kʲÖ
jÜ	j	Ü	0.0000079217	0.0000001558	50.8541983000	Contig-jÜ
Ünʲ	Ü	nʲ	0.0000007202	0.0000001541	4.6742304130	Contig-Ünʲ
ʤÖ	ʤ	Ö	0.0000014403	0.0000001391	10.3531609000	Contig-ʤÖ
