Data generated for Whang 2021
Biphone O/E ratios and phonotactic constraints induced based on StaGe (Adriaans and Kager 2010)

Legend:
Voiced vowel = lower case (e.g., 'i, e')
Devoiced vowel = upper case (e.g., 'I, E')
Short vowel = plain ('i, I, e, E')
Long vowel = umlaut ('ï, Ï, ë, Ë')
Placeless nasal coda = 'N'
Placeless non-nasal coda (1st half of geminate) = 'Q'
Word boundary = '#'

BIPHONE	S1	S2	O-VALUE	E-VALUE	OE-RATIO	CONSTRAINT
aa	a	a	0.0019933790	0.0160398920	0.1242763290	*aa
ao	a	o	0.0015432840	0.0128245080	0.1203386790	*ao
oa	o	a	0.0012955520	0.0128245080	0.1010215970	*oa
oo	o	o	0.0037303840	0.0102536850	0.3638091070	*oo
ai	a	i	0.0140350300	0.0093555700	1.5001789660	Contig-ai
ia	i	a	0.0010420590	0.0093555700	0.1113838040	*ia
ae	a	e	0.0017434860	0.0083420870	0.2089988400	*ae
ea	e	a	0.0010132530	0.0083420870	0.1214627700	*ea
ta	t	a	0.0168378590	0.0076065080	2.2136120710	Contig-ta
at	a	t	0.0073008940	0.0076065080	0.9598220430	--
oi	o	i	0.0030764870	0.0074801370	0.4112874890	*oi
io	i	o	0.0019602520	0.0074801370	0.2620609890	*io
ka	k	a	0.0197400690	0.0067789030	2.9119856970	Contig-ka
ak	a	k	0.0116513290	0.0067789030	1.7187631460	Contig-ak
eo	e	o	0.0014820720	0.0066698180	0.2222057000	*eo
oe	o	e	0.0008288940	0.0066698180	0.1242753940	*oe
to	t	o	0.0215930180	0.0060816950	3.5504936510	Contig-to
ot	o	t	0.0071410210	0.0060816950	1.1741827320	--
ii	i	i	0.0011277570	0.0054568130	0.2066695350	*ii
ok	o	k	0.0117874370	0.0054199920	2.1748069540	Contig-ok
ko	k	o	0.0108591620	0.0054199920	2.0035382490	Contig-ko
au	a	u	0.0007287930	0.0051957450	0.1402673010	*au
ua	u	a	0.0002779780	0.0051957450	0.0535011640	*ua
na	n	a	0.0149186550	0.0049637170	3.0055413000	Contig-na
an	a	n	0.0068378370	0.0049637170	1.3775639430	Contig-an
ei	e	i	0.0032147560	0.0048656800	0.6607002310	*ei
ie	i	e	0.0005681990	0.0048656800	0.1167769900	*ie
ar	a	r	0.0133847330	0.0046600000	2.8722603620	Contig-ar
ra	r	a	0.0076156010	0.0046600000	1.6342490760	Contig-ra
a#	a	#	0.0093281200	0.0045555690	2.0476302570	Contig-a#
#a	#	a	0.0012660260	0.0045555690	0.2779073570	*#a
it	i	t	0.0062537940	0.0044366400	1.4095790440	Contig-it
ti	t	i	0.0001706760	0.0044366400	0.0384696260	*ti
ee	e	e	0.0000965003	0.0043385830	0.0222423480	*ee
as	a	s	0.0081557140	0.0042770250	1.9068661410	Contig-as
sa	s	a	0.0055718110	0.0042770250	1.3027305370	Contig-sa
uo	u	o	0.0012674660	0.0041541970	0.3051050060	*uo
ou	o	u	0.0006654200	0.0041541970	0.1601801280	*ou
ma	m	a	0.0123570770	0.0039888130	3.0979332030	Contig-ma
am	a	m	0.0041732770	0.0039888130	1.0462452890	--
no	n	o	0.0201059060	0.0039686810	5.0661424260	Contig-no
on	o	n	0.0087426370	0.0039686810	2.2029073050	Contig-on
te	t	e	0.0172454640	0.0039560210	4.3592954390	Contig-te
et	e	t	0.0042107250	0.0039560210	1.0643838660	--
ik	i	k	0.0046384950	0.0039539230	1.1731373030	--
aN	a	N	0.0099683350	0.0039435750	2.5277407130	Contig-aN
Na	N	a	0.0001029820	0.0039435750	0.0261137790	*Na
da	d	a	0.0049762460	0.0037664520	1.3212023450	Contig-da
ad	a	d	0.0036634100	0.0037664520	0.9726420160	--
or	o	r	0.0069523410	0.0037258480	1.8659753630	Contig-or
ro	r	o	0.0029461390	0.0037258480	0.7907297710	--
o#	o	#	0.0069825880	0.0036423520	1.9170547590	Contig-o#
#o	#	o	0.0011032720	0.0036423520	0.3029009790	*#o
tt	t	t	0.0000079217	0.0036071920	0.0021960750	*tt
ke	k	e	0.0057424870	0.0035255970	1.6287984430	Contig-ke
ek	e	k	0.0027516980	0.0035255970	0.7804914540	--
so	s	o	0.0051209960	0.0034196450	1.4975226990	Contig-so
os	o	s	0.0031398600	0.0034196450	0.9181829510	--
kt	k	t	0.0001346680	0.0032147210	0.0418911290	*kt
tk	t	k	0.0000093620	0.0032147210	0.0029122180	*tk
mo	m	o	0.0102268690	0.0031892090	3.2067104070	Contig-mo
om	o	m	0.0068623220	0.0031892090	2.1517318120	Contig-om
oN	o	N	0.0051519630	0.0031530390	1.6339672700	Contig-oN
No	N	o	0.0007691220	0.0031530390	0.2439302550	*No
ui	u	i	0.0018327850	0.0030305170	0.6047764910	*ui
iu	i	u	0.0001857990	0.0030305170	0.0613093650	*iu
od	o	d	0.0046989880	0.0030114230	1.5603877900	Contig-od
do	d	o	0.0045455950	0.0030114230	1.5094509930	Contig-do
in	i	n	0.0058987600	0.0028951820	2.0374403890	Contig-in
kk	k	k	0.0000331270	0.0028649520	0.0115628320	*kk
aʃ	a	ʃ	0.0070214760	0.0028408920	2.4715746120	Contig-aʃ
ʃa	ʃ	a	0.0010636640	0.0028408920	0.3744118670	*ʃa
ri	r	i	0.0073383420	0.0027180330	2.6998724260	Contig-ri
ir	i	r	0.0043597960	0.0027180330	1.6040262680	Contig-ir
ue	u	e	0.0005523560	0.0027022220	0.2044080740	*ue
eu	e	u	0.0000921794	0.0027022220	0.0341124300	*eu
i#	i	#	0.0036828540	0.0026571220	1.3860314470	Contig-i#
#i	#	i	0.0015425640	0.0026571220	0.5805395700	*#i
ne	n	e	0.0032089940	0.0025815480	1.2430503960	--
en	e	n	0.0022432710	0.0025815480	0.8689636410	--
aö	a	ö	0.0002189260	0.0025761200	0.0849828480	*aö
öa	ö	a	0.0000763360	0.0025761200	0.0296321770	*öa
is	i	s	0.0022375100	0.0024946560	0.8969215060	--
si	s	i	0.0000338471	0.0024946560	0.0135678500	*si
ut	u	t	0.0027027280	0.0024639490	1.0969089870	--
tu	t	u	0.0000439292	0.0024639490	0.0178287900	*tu
re	r	e	0.0080613740	0.0024235900	3.3262120390	Contig-re
er	e	r	0.0048228540	0.0024235900	1.9899626610	Contig-er
ga	g	a	0.0123952450	0.0024176950	5.1268858880	Contig-ga
ag	a	g	0.0025644590	0.0024176950	1.0607041980	--
e#	e	#	0.0076825750	0.0023692770	3.2425817660	Contig-e#
#e	#	e	0.0002347690	0.0023692770	0.0990890190	*#e
tn	t	n	0.0000021605	0.0023539160	0.0009178130	*tn
nt	n	t	0.0000014403	0.0023539160	0.0006118750	*nt
im	i	m	0.0085928460	0.0023265510	3.6933843720	Contig-im
mi	m	i	0.0034473650	0.0023265510	1.4817491610	Contig-mi
iN	i	N	0.0040566130	0.0023001650	1.7636183840	Contig-iN
Ni	N	i	0.0003687180	0.0023001650	0.1603004820	*Ni
oʃ	o	ʃ	0.0037995190	0.0022714020	1.6727638530	Contig-oʃ
ʃo	ʃ	o	0.0012422610	0.0022714020	0.5469138830	*ʃo
es	e	s	0.0073289800	0.0022244110	3.2947959810	Contig-es
se	s	e	0.0029122920	0.0022244110	1.3092419130	Contig-se
rt	r	t	0.0000064814	0.0022098860	0.0029328950	*rt
tr	t	r	0.0000028806	0.0022098860	0.0013035090	*tr
id	i	d	0.0033018940	0.0021968550	1.5030098130	Contig-id
di	d	i	0.0000763360	0.0021968550	0.0347478820	*di
ku	k	u	0.0081744380	0.0021958660	3.7226489120	Contig-ku
uk	u	k	0.0024960450	0.0021958660	1.1367017120	--
#t	#	t	0.0029360570	0.0021603620	1.3590579890	Contig-#t
t#	t	#	0.0000669741	0.0021603620	0.0310013230	*t#
kn	k	n	0.0000036008	0.0020978040	0.0017164410	*kn
em	e	m	0.0040177240	0.0020745170	1.9367037480	Contig-em
me	m	e	0.0019746550	0.0020745170	0.9518626410	--
öo	ö	o	0.0008260140	0.0020597070	0.4010346090	*öo
oö	o	ö	0.0001368290	0.0020597070	0.0664311910	*oö
eN	e	N	0.0074578870	0.0020509890	3.6362394710	Contig-eN
Ne	N	e	0.0000511307	0.0020509890	0.0249297990	*Ne
st	s	t	0.0001411500	0.0020282700	0.0695911750	*st
ts	t	s	0.0000057612	0.0020282700	0.0028404560	*ts
Ua	U	a	0.0000144030	0.0019849210	0.0072562210	*Ua
kr	k	r	0.0000057612	0.0019694450	0.0029252970	*kr
de	d	e	0.0180966830	0.0019588710	9.2383253160	Contig-de
ed	e	d	0.0035100180	0.0019588710	1.7918579170	Contig-ed
Ia	I	a	0.0000237650	0.0019531810	0.0121673260	*Ia
aI	a	I	0.0000165635	0.0019531810	0.0084802570	*aI
go	g	o	0.0033897520	0.0019330400	1.7535867320	Contig-go
og	o	g	0.0030592030	0.0019330400	1.5825868780	Contig-og
#k	#	k	0.0046442560	0.0019253100	2.4122125840	Contig-#k
k#	k	#	0.0000100821	0.0019253100	0.0052366220	*k#
mt	m	t	0.0000014403	0.0018915930	0.0007614230	*mt
tm	t	m	0.0000014403	0.0018915930	0.0007614230	*tm
Nt	N	t	0.0030714460	0.0018701400	1.6423617340	Contig-Nt
tN	t	N	0.0000007202	0.0018701400	0.0003850790	*tN
ja	j	a	0.0025406940	0.0018263140	1.3911597880	Contig-ja
aj	a	j	0.0014417430	0.0018263140	0.7894279750	--
sk	s	k	0.0002534930	0.0018075890	0.1402383160	*sk
ks	k	s	0.0001001010	0.0018075890	0.0553781990	*ks
anʲ	a	nʲ	0.0018241430	0.0018063390	1.0098563920	--
nʲa	nʲ	a	0.0000093620	0.0018063390	0.0051828400	*nʲa
aQ	a	Q	0.0059174840	0.0018034210	3.2812551050	Contig-aQ
Qa	Q	a	0.0000014403	0.0018034210	0.0007986500	*Qa
td	t	d	0.0000028806	0.0017861440	0.0016127510	*td
km	k	m	0.0000043209	0.0016857830	0.0025631460	*km
uu	u	u	0.0000864182	0.0016830390	0.0513464910	*uu
Nk	N	k	0.0026717620	0.0016666640	1.6030594080	Contig-Nk
